country_code	admin_level	area_type	remarks
HR	6	state
HR	7	city
HR	8	city
HR	9	suburb
HT	10	suburb
HT	2	country
HT	4	state
HT	5	province
HT	8	city
HU	10	suburb
HU	2	country
HU	4	region
HU	5	region
HU	6	state
HU	7	province
HU	8	city
HU	9	district
ID	2	country
ID	4	state
ID	5	city
ID	6	district
ID	7	city
ID	8	district
ID	9	suburb
IE	10	city
IE	2	country
IE	5	state
IE	6	province
IE	7	province
IL	10	suburb
IL	2	country
IL	4	state
IL	8	city
IM	2	country
IM	6	state
IM	8	city
IN	10	district
IN	2	country
IN	4	state
IN	5	province
IN	6	province
IN	7	city
IN	8	city
IN	9	district
IO	2	country
IQ	10	suburb
IQ	2	country
IQ	3	region
IQ	4	state
IQ	6	province
IQ	8	city
IQ	9	district
IR	10	suburb
IR	2	country
IR	4	state
IR	6	province
IR	7	province
IR	8	city
IR	9	city
IS	10	suburb
IS	2	country
IS	5	state
IS	6	city
IT	10	district
IT	2	country
IT	4	state
IT	6	province
IT	8	city
JE	2	country
JE	8	state
JM	2	country
JM	6	state
JM	8	city
JO	2	country
JO	4	state
JP	10	suburb
JP	2	country
JP	3	region
JP	4	state
JP	5	province
JP	6	province
JP	7	city
JP	8	district
JP	9	suburb
KE	2	country
KE	4	state
KE	6	province
KE	8	city
KG	2	country
KG	4	state
KG	6	province
KG	8	city
KH	2	country
KH	4	state
KH	6	suburb
KI	2	country
KM	2	country
KM	4	state
KN	2	country
KP	2	country
KP	4	state
KP	5	province
KP	6	province
KP	8	city
KR	10	suburb
KR	2	country
KR	4	state
KR	6	province
KR	7	district
KR	8	district
KR	9	suburb
KW	2	country
KW	4	state
KY	2	country
KZ	2	country
KZ	4	state
KZ	6	province
KZ	8	city
LA	2	country
LA	4	state
LA	6	province
LB	10	suburb
LB	2	country
LB	3	state
LB	4	province
LC	2	country
LI	2	country
LI	6	state
LI	8	city
LK	2	country
LK	4	state
LK	5	province
LK	8	city
LR	2	country
LR	4	state
LR	6	province
LS	2	country
LS	5	state
LT	10	district
LT	2	country
LT	4	state
LT	5	province
LT	6	province
LT	8	city
LU	2	country
LU	6	county
LU	8	city
LU	9	suburb
LV	10	suburb
LV	2	country
LV	4	region
LV	6	state
LV	7	city
LV	8	city
LV	9	city
LY	2	country
LY	4	state
MA	2	country
MA	4	state
MA	5	province
MA	6	province
MA	7	province
MA	8	city
